year,country_code,country_name,SE.XPD.TOTL.GD.ZS,SE.XPD.CUR.TOTL.ZS,UIS.XSPENDP.FDPUB.FNS,SE.PRM.ENRL.TC.ZS,SE.SEC.ENRL.TC.ZS,UIS.PTRHC.56,UIS.TRTP.0,SE.PRM.TCAQ.ZS,UIS.TRTP.2,SE.SEC.TCAQ.ZS,UIS.TRTP.4,UIS.THDUR.0,SE.PRM.DURS,SE.SEC.DURS.LO,SE.SEC.DURS.UP,UIS.THDUR.4.A.GPV,SE.COM.DURS,IT.NET.USER.P2,IT.CMP.PCMP.P2,SP.URB.TOTL.IN.ZS,NY.GDP.PCAP.KD,IT.CEL.SETS.P2
1971,CHN,China,1.38698995113373,,,29.147289276123,21.839429855346697,,,,,,,4.0,5.0,2.0,2.0,,,,,17.292,206.0883156563173,
1971,CAN,Canada,7.71018981933594,,,,,,,,,,,2.0,6.0,3.0,3.0,,,,,76.09,26416.0233096118,
1971,KEN,Kenya,3.92982006072998,,,,,,,,,,,3.0,6.0,3.0,4.0,,,,,10.777999999999999,580.9297592349561,
1971,SYC,Seychelles,4.06639003753662,,,24.7989807128906,20.6456699371338,,,,,,,2.0,6.0,3.0,4.0,,,,,40.336999999999996,6395.1568432205195,
1971,PRI,Puerto Rico,7.25052022933959,,,,26.2786598205566,,,,,,,2.0,6.0,,,,,,,59.23,12327.494502603164,
1971,GHA,Ghana,4.22444009780884,,,,,6.0155200958252,,,,,,2.0,6.0,4.0,3.0,,,,,29.174,702.0883887472366,
1971,NER,Niger,1.0521600246429401,,,38.942420959472706,20.228319168090803,,,,,,,2.0,6.0,4.0,3.0,,,,,9.271,655.7726847341379,
1971,FRA,France,3.15601992607117,,,,15.8016700744629,,,,,,,3.0,5.0,4.0,3.0,,,,,71.459,24872.53111247067,
1971,GRC,Greece,1.3024599552154499,,,30.9328498840332,24.9735107421875,24.627050399780302,,,,,,2.0,6.0,3.0,3.0,,,,,64.95100000000001,16040.317486508913,
1971,ZMB,Zambia,6.095349788665769,,,49.619319915771506,,,,,,,,4.0,7.0,3.0,2.0,,,,,31.241,1303.0654201702575,
1971,AUT,Austria,4.29268980026245,,,21.435989379882802,19.572740554809602,8.56418037414551,,,,,,3.0,4.0,4.0,4.0,,,,,65.301,24057.270921646937,
1971,IRL,Ireland,4.481969833374019,,,,,,,,,,,2.0,6.0,3.0,2.0,,,,,52.269,16870.249329773244,
1971,LSO,Lesotho,4.64155006408691,,,44.2233695983887,21.292270660400398,6.032790184021,,,,,,3.0,7.0,3.0,2.0,,,,,9.039,376.95163381457905,
1971,CMR,Cameroon,3.08179998397827,,,47.6901702880859,,12.2272701263428,,,,,,2.0,6.0,4.0,3.0,,,,,21.584,944.1817951856408,
1971,PRY,Paraguay,2.47197008132935,,,31.492000579834,8.6606101989746,8.13243007659912,,,,,,3.0,6.0,3.0,3.0,,,,,37.23,1019.0125659992838,
1971,NIC,Nicaragua,2.49202990531921,,,37.4494018554688,25.944019317627,13.836279869079599,,,,,,4.0,6.0,3.0,2.0,,,,,47.777,2457.45380060139,
1971,COG,"Congo, Rep.",5.550950050354,,,61.8524894714355,33.044361114502,15.2820501327515,,,,,,3.0,6.0,4.0,3.0,,,,,39.919000000000004,1561.1514625821403,
1971,KOR,"Korea, Rep.",3.55118989944458,,,56.8702812194824,36.5086212158203,19.303880691528303,,,,,,1.0,6.0,3.0,3.0,,,,,42.261,2919.352235983708,
1971,GBR,United Kingdom,5.03205013275146,,,23.3272895812988,,,,,,,,2.0,6.0,3.0,4.0,,,,,77.03,25102.8146926954,
